lemma	pos	polarity_score	has_polarity	provenance
uulnus	noun	-1	negative	GOLD
absolutus	adj	1	positive	SILVER
absurditas	noun	-1	negative	SILVER
acceptom	noun	0	neutral	SILVER
acerbitudo	noun	-1	negative	SILVER
acroma	noun	0.5	positive	SILVER
acruama	noun	0.5	positive	SILVER
acumen	noun	-1	negative	SILVER
adcessio	noun	0	neutral	SILVER
adfectiuus	adj	0	neutral	SILVER
adfectus	noun	0	neutral	SILVER
adfinis	adj	0	neutral	SILVER
adfinitas	noun	0	neutral	SILVER
adfirmatio	noun	0	neutral	SILVER
adiutoriom	noun	0	neutral	SILVER
admirabilitas	noun	1	positive	SILVER
admissom	noun	-0.5	negative	SILVER
adsentator	noun	-1	negative	SILVER
adsiduitas	noun	0.5	positive	SILVER
adsiduus	adj	0.5	positive	SILVER
adsuetudo	noun	0	neutral	SILVER
adulteriom	noun	-0.5	negative	SILVER
aecom	noun	0.5	positive	SILVER
aecum	noun	0.5	positive	SILVER
aegritas	noun	-1	negative	SILVER
aegrotatio	noun	-1	negative	SILVER
aegroticius	adj	-1	negative	SILVER
aegrotus	noun	-1	negative	SILVER
aelectio	noun	0	neutral	SILVER
aemulatio	noun	-0.5	negative	SILVER
aequom	noun	0.5	positive	SILVER
aestumatio	noun	0	neutral	SILVER
aeternalis	adj	0.5	positive	SILVER
aeternus	adj	0.5	positive	SILVER
aeuiternus	adj	0.5	positive	SILVER
affectiuus	adj	0	neutral	SILVER
agceps	adj	-0.5	negative	SILVER
agmen	noun	-1	negative	SILVER
alienigena	noun	0	neutral	SILVER
alienom	noun	0	neutral	SILVER
amabilitas	noun	1	positive	SILVER
amans	adj	1	positive	SILVER
amaritas	noun	-1	negative	SILVER
amaritia	noun	-1	negative	SILVER
amarities	noun	-1	negative	SILVER
amceps	adj	-0.5	negative	SILVER
amecus	adj	1	positive	SILVER
ameicitia	noun	1	positive	SILVER
ameicus	adj	1	positive	SILVER
amicities	noun	1	positive	SILVER
amictus	noun	0.5	positive	SILVER
ammirabilis	adj	1	positive	SILVER
ammirabilitas	noun	1	positive	SILVER
ammiratio	noun	0.5	positive	SILVER
ammissom	noun	-0.5	negative	SILVER
ammissum	noun	-0.5	negative	SILVER
ammonitio	noun	-0.5	negative	SILVER
ancilla	noun	0	neutral	SILVER
ancillaris	adj	0	neutral	SILVER
ancsius	adj	-1	negative	SILVER
anicularis	adj	0	neutral	SILVER
anxietas	noun	-1	negative	SILVER
anxietudo	noun	-1	negative	SILVER
anxitudo	noun	-1	negative	SILVER
apstinentia	noun	0.5	positive	SILVER
apsurditas	noun	-1	negative	SILVER
apsurdus	adj	-1	negative	SILVER
arfinis	adj	0	neutral	SILVER
assiduus	adj	0.5	positive	SILVER
atfinitas	noun	0	neutral	SILVER
athleticus	adj	0.5	positive	SILVER
auctoramentom	noun	0	neutral	SILVER
augeriom	noun	0	neutral	SILVER
augurialis	adj	0	neutral	SILVER
augurionalis	adj	0	neutral	SILVER
auspicium	noun	0	neutral	SILVER
auxiliares	noun	0	neutral	SILVER
auxiliaris	adj	0	neutral	SILVER
auxiliarius	adj	0	neutral	SILVER
auxiliom	noun	0	neutral	SILVER
auxilium	noun	0	neutral	SILVER
bardus	adj	-1	negative	SILVER
bellariom	noun	1	positive	SILVER
bellarium	noun	1	positive	SILVER
belliatus	adj	1	positive	SILVER
bellitudo	noun	1	positive	SILVER
belus	adj	1	positive	SILVER
benefactom	noun	1	positive	SILVER
beneuolens	adj	1	positive	SILVER
beneuolenties	noun	1	positive	SILVER
benficiom	noun	-0.5	negative	SILVER
benficium	noun	-0.5	negative	SILVER
benificiom	noun	-0.5	negative	SILVER
benificium	noun	-0.5	negative	SILVER
beniuolens	adj	1	positive	SILVER
beniuolentia	noun	1	positive	SILVER
beniuolus	adj	1	positive	SILVER
blandities	noun	0.5	positive	SILVER
boluntas	noun	0	neutral	SILVER
brutus	adj	-1	negative	SILVER
caculatus	noun	0	neutral	SILVER
cacumen	noun	-1	negative	SILVER
caecilia	noun	-1	negative	SILVER
caecitudo	noun	-1	negative	SILVER
caecus	adj	-1	negative	SILVER
caedis	noun	-0.5	negative	SILVER
caenom	noun	-0.5	negative	SILVER
caenum	noun	-0.5	negative	SILVER
calcar	noun	0	neutral	SILVER
calcarius	adj	0	neutral	SILVER
calceus	noun	0	neutral	SILVER
calcis	noun	0	neutral	SILVER
calculum	noun	0	neutral	SILVER
calicatus	adj	0	neutral	SILVER
calliditas	noun	0.5	positive	SILVER
callidus	adj	1	positive	SILVER
calx	noun	0	neutral	SILVER
canticom	noun	0	neutral	SILVER
canticum	noun	0	neutral	SILVER
cantilena	noun	0	neutral	SILVER
canto	noun	0	neutral	SILVER
capcio	noun	-1	negative	SILVER
carmen	noun	0	neutral	SILVER
castigatio	noun	-1	negative	SILVER
catenarius	adj	0	neutral	SILVER
catenatus	adj	0	neutral	SILVER
cathena	noun	0	neutral	SILVER
catularius	adj	0	neutral	SILVER
catus	adj	1	positive	SILVER
catus	noun	1	positive	SILVER
cautes	noun	0	neutral	SILVER
cautis	noun	0	neutral	SILVER
certator	noun	-0.5	negative	SILVER
certom	noun	0	neutral	SILVER
cicatrix	noun	-0.5	negative	SILVER
cladis	noun	-1	negative	SILVER
claustrarius	noun	0	neutral	SILVER
claustrom	noun	0	neutral	SILVER
claustrum	noun	0	neutral	SILVER
cluens	noun	0	neutral	SILVER
coerator	noun	0	neutral	SILVER
cohercitio	noun	-1	negative	SILVER
colafus	noun	0	neutral	SILVER
colina	noun	0	neutral	SILVER
colloquiom	noun	-0.5	negative	SILVER
colloquium	noun	-0.5	negative	SILVER
commodom	noun	0.5	positive	SILVER
commodum	noun	0.5	positive	SILVER
comoedus	noun	0	neutral	SILVER
compendiarius	adj	0.5	positive	SILVER
compendiom	noun	0.5	positive	SILVER
compendium	noun	0.5	positive	SILVER
concertator	noun	-0.5	negative	SILVER
concinnitas	noun	1	positive	SILVER
concinnitudo	noun	1	positive	SILVER
concio	noun	-0.5	negative	SILVER
concordialis	adj	1	positive	SILVER
concordium	noun	1	positive	SILVER
condimentarius	adj	0.5	positive	SILVER
condimentom	noun	0.5	positive	SILVER
confessom	noun	0	neutral	SILVER
congiariom	noun	0	neutral	SILVER
conleibertus	noun	0	neutral	SILVER
conlibertus	noun	0	neutral	SILVER
conluuio	noun	-1	negative	SILVER
conmemoratio	noun	0	neutral	SILVER
conrector	noun	0	neutral	SILVER
conrumptor	noun	-1	negative	SILVER
conruptela	noun	-1	negative	SILVER
conruptor	noun	-1	negative	SILVER
consanguineus	noun	0	neutral	SILVER
consanguinitas	noun	0	neutral	SILVER
consors	adj	0	neutral	SILVER
consortalis	adj	0	neutral	SILVER
consortiom	noun	0	neutral	SILVER
constitutom	noun	0	neutral	SILVER
contagiom	noun	-1	negative	SILVER
contagium	noun	-1	negative	SILVER
contemtio	noun	-1	negative	SILVER
continuus	adj	0	neutral	SILVER
contio	noun	-0.5	negative	SILVER
contionalis	adj	-0.5	negative	SILVER
contionarius	adj	-0.5	negative	SILVER
contrariom	noun	0	neutral	SILVER
contumia	noun	-1	negative	SILVER
conuentionalis	adj	0	neutral	SILVER
conuentom	noun	0	neutral	SILVER
conuiciom	noun	-1	negative	SILVER
conuitiom	noun	-1	negative	SILVER
conuitium	noun	-1	negative	SILVER
copiositas	noun	1	positive	SILVER
cordatus	adj	1	positive	SILVER
corrumptor	noun	-1	negative	SILVER
cotes	noun	0	neutral	SILVER
crapula	noun	-0.5	negative	SILVER
crapularius	adj	-0.5	negative	SILVER
crassator	noun	-1	negative	SILVER
crastinom	noun	0	neutral	SILVER
creditarius	noun	0	neutral	SILVER
creditom	noun	0	neutral	SILVER
cruciamentom	noun	-1	negative	SILVER
cruciamentum	noun	-0.5	negative	SILVER
crudarius	adj	-1	negative	SILVER
crudiuus	adj	-1	negative	SILVER
crudus	adj	-1	negative	SILVER
culinarius	adj	0	neutral	SILVER
culna	noun	0	neutral	SILVER
cultus	noun	-0.5	negative	SILVER
cupidus	adj	-0.5	negative	SILVER
cuppedenarius	adj	-0.5	negative	SILVER
cuppedo	noun	-0.5	negative	SILVER
cuppes	adj	-0.5	negative	SILVER
cura	noun	-1	negative	SILVER
curatoricius	adj	0	neutral	SILVER
cuspis	noun	-1	negative	SILVER
damnom	noun	-1	negative	SILVER
dampnom	noun	-1	negative	SILVER
dampnum	noun	-1	negative	SILVER
datom	noun	0	neutral	SILVER
debitom	noun	0	neutral	SILVER
defomitatus	adj	-1	negative	SILVER
deformitas	noun	-1	negative	SILVER
delenimentom	noun	0.5	positive	SILVER
delicatus	adj	0.5	positive	SILVER
deliciaris	adj	0.5	positive	SILVER
deliciatus	adj	0.5	positive	SILVER
delictom	noun	-1	negative	SILVER
delinimentom	noun	0.5	positive	SILVER
delinimentum	noun	0.5	positive	SILVER
deliquia	noun	0.5	positive	SILVER
delirium	noun	-1	negative	SILVER
depositarius	noun	0	neutral	SILVER
depositom	noun	0	neutral	SILVER
detestabilitas	noun	-1	negative	SILVER
detractatio	noun	-1	negative	SILVER
detrectatio	noun	-1	negative	SILVER
detrimentom	noun	-0.5	negative	SILVER
dilenimentom	noun	0.5	positive	SILVER
dilenimentum	noun	0.5	positive	SILVER
dingua	noun	-0.5	negative	SILVER
diplomarius	adj	0	neutral	SILVER
diritas	noun	-1	negative	SILVER
disertitudo	noun	1	positive	SILVER
dispar	adj	0.5	positive	SILVER
dissertus	adj	1	positive	SILVER
dissimilatio	noun	-0.5	negative	SILVER
diuturnitas	noun	0.5	positive	SILVER
donarius	adj	0	neutral	SILVER
donom	noun	0	neutral	SILVER
dubiom	noun	-0.5	negative	SILVER
dunom	noun	0	neutral	SILVER
dunum	noun	0	neutral	SILVER
duploma	noun	0	neutral	SILVER
ebriositas	noun	-0.5	negative	SILVER
ecferitas	noun	-1	negative	SILVER
ecferus	adj	-1	negative	SILVER
ecfugiom	noun	0	neutral	SILVER
ecfugium	noun	0	neutral	SILVER
efferitas	noun	-1	negative	SILVER
effugiom	noun	0	neutral	SILVER
eger	adj	-1	negative	SILVER
egregiatus	noun	1	positive	SILVER
eira	noun	-1	negative	SILVER
elementum	noun	0.5	positive	SILVER
eligans	adj	1	positive	SILVER
eligantia	noun	1	positive	SILVER
eminens	adj	1	positive	SILVER
emolimentom	noun	0.5	positive	SILVER
emolimentum	noun	0.5	positive	SILVER
emolumenticius	adj	0.5	positive	SILVER
emolumentom	noun	0.5	positive	SILVER
epistula	noun	0.5	positive	SILVER
erratom	noun	-1	negative	SILVER
eruditio	noun	0.5	positive	SILVER
essuries	noun	-0.5	negative	SILVER
esurialis	adj	-0.5	negative	SILVER
esuries	noun	-0.5	negative	SILVER
eternitas	noun	0.5	positive	SILVER
exferus	adj	-1	negative	SILVER
exfugiom	noun	0	neutral	SILVER
exfugium	noun	0	neutral	SILVER
exiliom	noun	-1	negative	SILVER
exitialis	adj	-1	negative	SILVER
exitiom	noun	-1	negative	SILVER
expectatio	noun	0	neutral	SILVER
expensom	noun	0	neutral	SILVER
exsiliom	noun	-1	negative	SILVER
exsspectatio	noun	0	neutral	SILVER
exsstinctor	noun	-0.5	negative	SILVER
exssultatio	noun	0.5	positive	SILVER
extinctor	noun	-0.5	negative	SILVER
exultatio	noun	0.5	positive	SILVER
facundia	noun	1	positive	SILVER
facunditas	noun	1	positive	SILVER
facundus	adj	1	positive	SILVER
faenerator	noun	-0.5	negative	SILVER
faerus	adj	-1	negative	SILVER
fallacitas	noun	-1	negative	SILVER
fama	noun	1	positive	SILVER
familia	noun	0.5	positive	SILVER
familiaricus	adj	0.5	positive	SILVER
famis	noun	-0.5	negative	SILVER
famul	noun	0	neutral	SILVER
famularis	adj	0	neutral	SILVER
famulitium	noun	0	neutral	SILVER
famulus	noun	0	neutral	SILVER
fastosus	adj	-1	negative	SILVER
fastuosus	adj	-1	negative	SILVER
fastus	adj	-1	negative	SILVER
fastus	noun	-1	negative	SILVER
fatuitas	noun	-1	negative	SILVER
fauorabilis	adj	1	positive	SILVER
fecundus	adj	1	positive	SILVER
ferax	adj	1	positive	SILVER
feritas	noun	-1	negative	SILVER
fertilis	adj	1	positive	SILVER
fiducialis	adj	-1	negative	SILVER
fiduciarius	adj	-1	negative	SILVER
filosophus	noun	0	neutral	SILVER
firmamentom	noun	0	neutral	SILVER
firmitudo	noun	1	positive	SILVER
floralis	adj	0.5	positive	SILVER
floretom	noun	0.5	positive	SILVER
floretum	noun	0.5	positive	SILVER
floreus	adj	0.5	positive	SILVER
formidolositas	noun	-1	negative	SILVER
formidulositas	noun	-1	negative	SILVER
formidulosus	adj	-1	negative	SILVER
formularius	adj	0	neutral	SILVER
freneticus	adj	-1	negative	SILVER
frons	noun	0	neutral	SILVER
fructetom	noun	0.5	positive	SILVER
fructetum	noun	0.5	positive	SILVER
fructuarius	adj	0.5	positive	SILVER
frugamenta	noun	0.5	positive	SILVER
frugeus	adj	0.5	positive	SILVER
frugifer	adj	1	positive	SILVER
frumentaceus	adj	0.5	positive	SILVER
frumentarius	adj	0.5	positive	SILVER
frumentom	noun	0.5	positive	SILVER
frumentum	noun	0.5	positive	SILVER
frus	noun	0	neutral	SILVER
frux	noun	0.5	positive	SILVER
funeralis	adj	-0.5	negative	SILVER
funerarius	adj	-0.5	negative	SILVER
funereus	adj	-0.5	negative	SILVER
geloria	noun	1	positive	SILVER
generositas	noun	1	positive	SILVER
geometra	noun	0	neutral	SILVER
geometricus	adj	0	neutral	SILVER
gloriabilis	adj	1	positive	SILVER
gratiositas	noun	1	positive	SILVER
hilaria	noun	1	positive	SILVER
hilaritudo	noun	1	positive	SILVER
histricus	adj	0	neutral	SILVER
histrio	noun	0	neutral	SILVER
histrionalis	adj	0	neutral	SILVER
histrionicus	adj	0	neutral	SILVER
honestom	noun	1	positive	SILVER
horror	noun	-1	negative	SILVER
hortatio	noun	0	neutral	SILVER
hospes	noun	0	neutral	SILVER
hospis	noun	0	neutral	SILVER
hospitalis	adj	0	neutral	SILVER
hospitiom	noun	0	neutral	SILVER
hulcus	noun	-0.5	negative	SILVER
iacturarius	noun	-0.5	negative	SILVER
illaudabilis	adj	-1	negative	SILVER
illiberalis	adj	-1	negative	SILVER
illiberalitas	noun	-1	negative	SILVER
illiberis	adj	-1	negative	SILVER
illiteratus	adj	-0.5	negative	SILVER
illitteratus	adj	-0.5	negative	SILVER
imbecillus	adj	-1	negative	SILVER
imbellia	noun	-1	negative	SILVER
imbellis	adj	-1	negative	SILVER
imbellus	adj	-1	negative	SILVER
immanifestus	adj	0.5	positive	SILVER
immaturitas	noun	-1	negative	SILVER
immemoria	noun	-1	negative	SILVER
immemoris	adj	-1	negative	SILVER
immiserabilis	adj	1	positive	SILVER
immisericordia	noun	-1	negative	SILVER
immisericors	adj	-1	negative	SILVER
immoderatio	noun	-0.5	negative	SILVER
immodestia	noun	-1	negative	SILVER
immodestus	adj	-1	negative	SILVER
impaenitudo	noun	-1	negative	SILVER
impatientia	noun	-0.5	negative	SILVER
impauidus	adj	1	positive	SILVER
imperitia	noun	-0.5	negative	SILVER
imperitus	adj	-0.5	negative	SILVER
imperpetuus	adj	0	neutral	SILVER
imperturbatio	noun	0.5	positive	SILVER
impietas	noun	-1	negative	SILVER
implacabilitas	noun	-1	negative	SILVER
impoenis	adj	-0.5	negative	SILVER
impoenitudo	noun	-1	negative	SILVER
impoenitus	adj	-1	negative	SILVER
impraestabilis	adj	-1	negative	SILVER
improbabilis	adj	-0.5	negative	SILVER
improuidentia	noun	-1	negative	SILVER
improuidus	adj	-1	negative	SILVER
impudicatus	adj	-1	negative	SILVER
impudicitia	noun	-1	negative	SILVER
impunis	adj	-0.5	negative	SILVER
inamabilis	adj	-1	negative	SILVER
inambitiosus	adj	0.5	positive	SILVER
inbecillitas	noun	-1	negative	SILVER
inbecillus	adj	-1	negative	SILVER
inbellis	adj	-1	negative	SILVER
inbellus	adj	-1	negative	SILVER
inclemens	adj	-1	negative	SILVER
inclementia	noun	-1	negative	SILVER
incommodom	noun	-1	negative	SILVER
inconcinnitas	noun	-1	negative	SILVER
inconcinnus	adj	-1	negative	SILVER
inconscius	adj	0.5	positive	SILVER
inconsentaneus	adj	-0.5	negative	SILVER
incopiosus	adj	-1	negative	SILVER
incorruptela	noun	1	positive	SILVER
incredibilis	adj	-0.5	negative	SILVER
incredibilitas	noun	-0.5	negative	SILVER
incredulitas	noun	0.5	positive	SILVER
incredulus	adj	0.5	positive	SILVER
incultus	noun	-0.5	negative	SILVER
indemnatio	noun	1	positive	SILVER
indemnis	adj	1	positive	SILVER
indemnitas	noun	1	positive	SILVER
indifferentia	noun	0	neutral	SILVER
indisertus	adj	-1	negative	SILVER
indostruus	adj	1	positive	SILVER
industria	noun	0.5	positive	SILVER
inedia	noun	-0.5	negative	SILVER
inelegans	adj	-1	negative	SILVER
inelegantia	noun	-1	negative	SILVER
inemptor	noun	0	neutral	SILVER
ineptia	noun	-1	negative	SILVER
ineptitudo	noun	-1	negative	SILVER
inerratom	noun	1	positive	SILVER
inerratum	noun	1	positive	SILVER
inexitiabilis	adj	1	positive	SILVER
inexorabilitas	noun	-0.5	negative	SILVER
infacundus	adj	-1	negative	SILVER
infamis	adj	-1	negative	SILVER
infauorabilis	adj	-1	negative	SILVER
infecundus	adj	-1	negative	SILVER
inficetiae	noun	-1	negative	SILVER
inficetus	adj	-1	negative	SILVER
infidelitas	noun	-1	negative	SILVER
infirmitas	noun	-1	negative	SILVER
infirmus	adj	-1	negative	SILVER
infistus	adj	-1	negative	SILVER
infortuniom	noun	-1	negative	SILVER
infortunium	noun	-1	negative	SILVER
infructuositas	noun	-1	negative	SILVER
infructuosus	adj	-1	negative	SILVER
ingeniositas	noun	1	positive	SILVER
ingenuosus	adj	1	positive	SILVER
inhonorificus	adj	-1	negative	SILVER
inimicalis	adj	-1	negative	SILVER
inlaudabilis	adj	-1	negative	SILVER
inlepidus	adj	-1	negative	SILVER
inliberalis	adj	-1	negative	SILVER
inlicitus	adj	-1	negative	SILVER
inmanifestus	adj	0.5	positive	SILVER
inmaturitas	noun	-1	negative	SILVER
inmaturus	adj	-1	negative	SILVER
inmemor	adj	-1	negative	SILVER
inmemoria	noun	-1	negative	SILVER
inmemoris	adj	-1	negative	SILVER
inmerens	adj	1	positive	SILVER
inmiserabilis	adj	1	positive	SILVER
inmisericors	adj	-1	negative	SILVER
inmitis	adj	-1	negative	SILVER
inmoderatio	noun	-0.5	negative	SILVER
inmodestus	adj	-1	negative	SILVER
inmodicus	adj	-1	negative	SILVER
inofficiosus	adj	-1	negative	SILVER
inopia	noun	-1	negative	SILVER
inops	adj	-1	negative	SILVER
inoptabilis	adj	-1	negative	SILVER
inpatiens	adj	-0.5	negative	SILVER
inpatientia	noun	-0.5	negative	SILVER
inpauidus	adj	1	positive	SILVER
inperitus	adj	-0.5	negative	SILVER
inperturbatio	noun	0.5	positive	SILVER
inperturbatus	adj	1	positive	SILVER
inplacabilis	adj	-1	negative	SILVER
inplacabilitas	noun	-1	negative	SILVER
inpoenitus	adj	-1	negative	SILVER
inportunitas	noun	-1	negative	SILVER
inportunus	adj	-1	negative	SILVER
inpotens	adj	-1	negative	SILVER
inpotentia	noun	-1	negative	SILVER
inpraestabilis	adj	-1	negative	SILVER
inprobabilis	adj	-0.5	negative	SILVER
inprouidentia	noun	-1	negative	SILVER
inprouidus	adj	-1	negative	SILVER
inprouisus	adj	-0.5	negative	SILVER
inprudens	adj	-0.5	negative	SILVER
inprudentia	noun	-0.5	negative	SILVER
inpudens	adj	-1	negative	SILVER
inpudentia	noun	-1	negative	SILVER
inpudicatus	adj	-1	negative	SILVER
inpudicitia	noun	-1	negative	SILVER
inpudicus	adj	-1	negative	SILVER
inpulsus	noun	0	neutral	SILVER
inpunitas	noun	-0.5	negative	SILVER
inpunitus	adj	-1	negative	SILVER
inrationalis	adj	-0.5	negative	SILVER
inreparabilis	adj	-1	negative	SILVER
inrisus	noun	-1	negative	SILVER
inritom	noun	-1	negative	SILVER
inritum	noun	-1	negative	SILVER
inritus	adj	-0.5	negative	SILVER
insaluber	adj	-1	negative	SILVER
insalubris	adj	-1	negative	SILVER
insanitas	noun	-1	negative	SILVER
insatiabilitas	noun	0	neutral	SILVER
insolens	adj	-1	negative	SILVER
instius	adj	-1	negative	SILVER
instudiosus	adj	-0.5	negative	SILVER
intempestiuitas	noun	-1	negative	SILVER
interribilis	adj	0.5	positive	SILVER
intimidus	adj	0.5	positive	SILVER
intolerabilitas	noun	-0.5	negative	SILVER
intolerantia	noun	-1	negative	SILVER
inuerecundia	noun	-1	negative	SILVER
inuerecundus	adj	-1	negative	SILVER
inuoluntas	noun	0	neutral	SILVER
iocalis	adj	-0.5	negative	SILVER
iocista	noun	-0.5	negative	SILVER
irratio	noun	0	neutral	SILVER
irreparabilis	adj	-1	negative	SILVER
irritom	noun	-1	negative	SILVER
iudicatom	noun	0	neutral	SILVER
iurgiom	noun	-1	negative	SILVER
iustom	noun	1	positive	SILVER
kadamitas	noun	-1	negative	SILVER
kalumnia	noun	-1	negative	SILVER
labes	noun	-1	negative	SILVER
laeuamentom	noun	0.5	positive	SILVER
laeuamentum	noun	0.5	positive	SILVER
lapidaris	adj	0	neutral	SILVER
lapidarius	adj	0	neutral	SILVER
lapideus	adj	0	neutral	SILVER
lapis	noun	0	neutral	SILVER
largitio	noun	0	neutral	SILVER
laudabilitas	noun	1	positive	SILVER
legumen	noun	0.5	positive	SILVER
leguminarius	adj	0.5	positive	SILVER
leibereis	noun	1	positive	SILVER
leis	noun	-0.5	negative	SILVER
leitera	noun	0.5	positive	SILVER
lenis	adj	1	positive	SILVER
lenitudo	noun	1	positive	SILVER
lenociniom	noun	-1	negative	SILVER
lentitudo	noun	1	positive	SILVER
lepor	noun	1	positive	SILVER
letalis	adj	-1	negative	SILVER
lethom	noun	-1	negative	SILVER
leuamentarius	adj	0.5	positive	SILVER
leuamentom	noun	0.5	positive	SILVER
libellaris	adj	0	neutral	SILVER
libellarius	adj	0	neutral	SILVER
libellatici	noun	0	neutral	SILVER
libellatus	adj	0	neutral	SILVER
liberi	noun	1	positive	SILVER
licentiatus	noun	-0.5	negative	SILVER
ligumen	noun	0.5	positive	SILVER
limus	noun	-0.5	negative	SILVER
lingua	noun	-0.5	negative	SILVER
linguarium	noun	-0.5	negative	SILVER
linguatus	adj	-0.5	negative	SILVER
linguax	adj	-0.5	negative	SILVER
litteralis	adj	0.5	positive	SILVER
litterarius	adj	0.5	positive	SILVER
lubidinosus	adj	-1	negative	SILVER
lucrum	noun	0.5	positive	SILVER
ludiarius	adj	0	neutral	SILVER
ludibriom	noun	-1	negative	SILVER
ludio	noun	0	neutral	SILVER
ludius	noun	0	neutral	SILVER
luparius	noun	0	neutral	SILVER
lupatus	adj	0	neutral	SILVER
lutum	noun	-0.5	negative	SILVER
luxoria	noun	-0.5	negative	SILVER
luxus	noun	-0.5	negative	SILVER
lymphatus	noun	-1	negative	SILVER
maestitudo	noun	-1	negative	SILVER
maldictom	noun	-1	negative	SILVER
maldictum	noun	-1	negative	SILVER
maledictom	noun	-1	negative	SILVER
malefactom	noun	-1	negative	SILVER
maletum	noun	-1	negative	SILVER
malitiositas	noun	-1	negative	SILVER
maliuolus	adj	-1	negative	SILVER
malus	noun	-1	negative	SILVER
manceps	noun	0	neutral	SILVER
mancipalis	adj	0	neutral	SILVER
manciparius	noun	0	neutral	SILVER
mancipiom	noun	0	neutral	SILVER
mancupiom	noun	0	neutral	SILVER
mancupium	noun	0	neutral	SILVER
manifestarius	adj	-0.5	negative	SILVER
mansues	adj	1	positive	SILVER
mansuetudo	noun	1	positive	SILVER
manufestarius	adj	-0.5	negative	SILVER
manufestus	adj	-0.5	negative	SILVER
margaritarius	adj	0	neutral	SILVER
margaritatus	adj	0	neutral	SILVER
memor	noun	1	positive	SILVER
memoria	noun	1	positive	SILVER
mendaciom	noun	-1	negative	SILVER
mendacitas	noun	-1	negative	SILVER
mendicitas	noun	-1	negative	SILVER
mendom	noun	-1	negative	SILVER
mendum	noun	-1	negative	SILVER
meom	noun	0	neutral	SILVER
mercedarius	noun	1	positive	SILVER
mercennarius	adj	1	positive	SILVER
merces	noun	1	positive	SILVER
mercis	noun	1	positive	SILVER
mestitia	noun	-1	negative	SILVER
mimarius	adj	-0.5	negative	SILVER
mimus	noun	-0.5	negative	SILVER
ministeriales	noun	0	neutral	SILVER
ministeriani	noun	0	neutral	SILVER
ministeriom	noun	0	neutral	SILVER
ministerium	noun	0	neutral	SILVER
modestia	noun	0.5	positive	SILVER
modus	noun	0.5	positive	SILVER
moenicipiom	noun	0	neutral	SILVER
moenus	noun	0.5	positive	SILVER
moestitia	noun	-1	negative	SILVER
moestus	adj	-1	negative	SILVER
molestia	noun	-1	negative	SILVER
moneta	noun	0	neutral	SILVER
morbidus	adj	-1	negative	SILVER
morositas	noun	-1	negative	SILVER
mucro	noun	-1	negative	SILVER
muliercularius	noun	-0.5	negative	SILVER
muneralis	adj	0.5	positive	SILVER
munerarius	adj	0.5	positive	SILVER
municipatus	noun	0	neutral	SILVER
municipes	noun	0	neutral	SILVER
municipium	noun	0	neutral	SILVER
munificens	adj	1	positive	SILVER
munusculom	noun	0	neutral	SILVER
mutuarius	adj	0	neutral	SILVER
mutuom	noun	0	neutral	SILVER
naturalis	noun	0	neutral	SILVER
neclegentia	noun	-0.5	negative	SILVER
nescius	adj	-0.5	negative	SILVER
nimiom	noun	0	neutral	SILVER
nitor	noun	1	positive	SILVER
nixus	noun	1	positive	SILVER
noxius	adj	0.5	positive	SILVER
nugalia	noun	-1	negative	SILVER
nugalis	adj	-1	negative	SILVER
nummarius	adj	0	neutral	SILVER
nummatus	adj	0	neutral	SILVER
nummus	noun	0	neutral	SILVER
obex	noun	0	neutral	SILVER
obitus	noun	-1	negative	SILVER
obliuialis	adj	-0.5	negative	SILVER
obnoxietas	noun	-0.5	negative	SILVER
obscaenus	adj	-1	negative	SILVER
obscenitas	noun	-1	negative	SILVER
obscoenus	adj	-1	negative	SILVER
obtrectatio	noun	-1	negative	SILVER
odeom	noun	-1	negative	SILVER
odeum	noun	-1	negative	SILVER
odiom	noun	-1	negative	SILVER
officialis	adj	0.5	positive	SILVER
officiom	noun	0.5	positive	SILVER
officiositas	noun	1	positive	SILVER
officium	noun	0.5	positive	SILVER
onerositas	noun	-0.5	negative	SILVER
opertom	noun	0	neutral	SILVER
opscaenus	adj	-1	negative	SILVER
opscenus	adj	-1	negative	SILVER
optrectator	noun	-1	negative	SILVER
oratio	noun	-0.5	negative	SILVER
ostentarius	adj	0	neutral	SILVER
ostentom	noun	0	neutral	SILVER
otiom	noun	1	positive	SILVER
pacalis	adj	1	positive	SILVER
pactom	noun	0	neutral	SILVER
paedor	noun	-0.5	negative	SILVER
paricida	noun	-1	negative	SILVER
paricidalis	adj	-1	negative	SILVER
paricidas	noun	-1	negative	SILVER
paricidiom	noun	-1	negative	SILVER
paricidium	noun	-1	negative	SILVER
parilis	adj	0.5	positive	SILVER
parom	noun	0	neutral	SILVER
parricidalis	adj	-1	negative	SILVER
parricidas	noun	-1	negative	SILVER
parricidatus	noun	-1	negative	SILVER
parricidiom	noun	-1	negative	SILVER
participalis	adj	0	neutral	SILVER
participialis	adj	0	neutral	SILVER
participiom	noun	0	neutral	SILVER
participium	noun	0	neutral	SILVER
patrocinalis	adj	0.5	positive	SILVER
patrociniom	noun	0.5	positive	SILVER
pauos	noun	-1	negative	SILVER
pauperiom	noun	-1	negative	SILVER
pauperium	noun	-1	negative	SILVER
paupertas	noun	-1	negative	SILVER
peccatom	noun	-1	negative	SILVER
pecu	noun	0	neutral	SILVER
peculiaris	adj	0	neutral	SILVER
peculiarius	adj	0	neutral	SILVER
peculiom	noun	0	neutral	SILVER
